Next,ProductId,Year,Month,Units,Avg,Count,Max,Min,Prev
15.0000,721,2018,5,16.0000,3.200000,5,10.0000,1.0000,17.0000
23.0000,721,2018,6,15.0000,2.500000,6,4.0000,1.0000,16.0000
8.0000,721,2018,7,23.0000,2.090909,11,6.0000,1.0000,15.0000
2.0000,721,2018,8,8.0000,1.333333,6,2.0000,1.0000,23.0000
0.0000,721,2018,9,2.0000,2.000000,1,2.0000,2.0000,8.0000
0.0000,723,2018,9,1.0000,1.000000,1,1.0000,1.0000,0.0000
2.0000,730,2017,9,1.0000,1.000000,1,1.0000,1.0000,0.0000
2.0000,730,2017,10,2.0000,2.000000,1,2.0000,2.0000,1.0000
2.0000,730,2018,1,2.0000,2.000000,1,2.0000,2.0000,2.0000
8.0000,730,2018,2,2.0000,2.000000,1,2.0000,2.0000,2.0000
1.0000,730,2018,5,8.0000,4.000000,2,7.0000,1.0000,2.0000
10.0000,730,2018,6,1.0000,1.000000,1,1.0000,1.0000,8.0000
0.0000,730,2018,7,10.0000,3.333333,3,7.0000,1.0000,1.0000
1.0000,736,2017,9,16.0000,1.000000,16,1.0000,1.0000,0.0000
3.0000,736,2017,10,1.0000,1.000000,1,1.0000,1.0000,16.0000
7.0000,736,2018,1,3.0000,1.000000,3,1.0000,1.0000,1.0000
1.0000,736,2018,2,7.0000,1.400000,5,2.0000,1.0000,3.0000
3.0000,736,2018,3,1.0000,1.000000,1,1.0000,1.0000,7.0000
1.0000,736,2018,5,3.0000,1.000000,3,1.0000,1.0000,1.0000
1.0000,736,2018,6,1.0000,1.000000,1,1.0000,1.0000,3.0000
1.0000,736,2018,7,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,736,2018,8,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,737,2018,5,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,740,2018,3,1.0000,1.000000,1,1.0000,1.0000,0.0000
0.0000,740,2018,4,1.0000,1.000000,1,1.0000,1.0000,1.0000
2.0000,741,2017,9,12.0000,1.090909,11,2.0000,1.0000,0.0000
5.0000,741,2017,10,2.0000,1.000000,2,1.0000,1.0000,12.0000
2.0000,741,2017,11,5.0000,1.250000,4,2.0000,1.0000,2.0000
4.0000,741,2017,12,2.0000,1.000000,2,1.0000,1.0000,5.0000
5.0000,741,2018,2,4.0000,1.000000,4,1.0000,1.0000,2.0000
3.0000,741,2018,3,5.0000,1.250000,4,2.0000,1.0000,4.0000
3.0000,741,2018,4,3.0000,1.000000,3,1.0000,1.0000,5.0000
4.0000,741,2018,5,3.0000,1.500000,2,2.0000,1.0000,3.0000
7.0000,741,2018,7,4.0000,1.000000,4,1.0000,1.0000,3.0000
0.0000,741,2018,8,7.0000,3.500000,2,6.0000,1.0000,4.0000
0.0000,742,2018,2,3.0000,3.000000,1,3.0000,3.0000,0.0000
3.0000,743,2017,9,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,743,2017,10,3.0000,3.000000,1,3.0000,3.0000,1.0000
1.0000,743,2017,11,1.0000,1.000000,1,1.0000,1.0000,3.0000
0.0000,743,2018,3,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,745,2017,9,7.0000,3.500000,2,4.0000,3.0000,0.0000
0.0000,747,2018,8,1.0000,1.000000,1,1.0000,1.0000,0.0000
3.0000,748,2017,9,4.0000,4.000000,1,4.0000,4.0000,0.0000
0.0000,748,2018,5,3.0000,1.500000,2,2.0000,1.0000,4.0000
2.0000,749,2017,9,6.0000,2.000000,3,4.0000,1.0000,0.0000
1.0000,749,2017,10,2.0000,1.000000,2,1.0000,1.0000,6.0000
1.0000,749,2017,12,1.0000,1.000000,1,1.0000,1.0000,2.0000
12.0000,749,2018,1,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,749,2018,3,12.0000,6.000000,2,10.0000,2.0000,1.0000
0.0000,749,2018,5,1.0000,1.000000,1,1.0000,1.0000,12.0000
0.0000,750,2018,7,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,751,2017,10,2.0000,2.000000,1,2.0000,2.0000,0.0000
0.0000,751,2017,12,1.0000,1.000000,1,1.0000,1.0000,2.0000
0.0000,755,2018,2,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,757,2017,9,5.0000,1.000000,5,1.0000,1.0000,0.0000
2.0000,757,2017,12,1.0000,1.000000,1,1.0000,1.0000,5.0000
4.0000,757,2018,2,2.0000,1.000000,2,1.0000,1.0000,1.0000
2.0000,757,2018,3,4.0000,1.333333,3,2.0000,1.0000,2.0000
2.0000,757,2018,4,2.0000,1.000000,2,1.0000,1.0000,4.0000
2.0000,757,2018,5,2.0000,2.000000,1,2.0000,2.0000,2.0000
1.0000,757,2018,7,2.0000,1.000000,2,1.0000,1.0000,2.0000
0.0000,757,2018,8,1.0000,1.000000,1,1.0000,1.0000,2.0000
1.0000,759,2017,9,2.0000,1.000000,2,1.0000,1.0000,0.0000
2.0000,759,2017,10,1.0000,1.000000,1,1.0000,1.0000,2.0000
1.0000,759,2017,11,2.0000,1.000000,2,1.0000,1.0000,1.0000
1.0000,759,2017,12,1.0000,1.000000,1,1.0000,1.0000,2.0000
1.0000,759,2018,4,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,759,2018,7,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,759,2018,8,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,761,2018,5,2.0000,2.000000,1,2.0000,2.0000,0.0000
0.0000,763,2017,10,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,764,2017,10,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,764,2018,1,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,764,2018,3,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,765,2018,5,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,766,2017,9,1.0000,1.000000,1,1.0000,1.0000,0.0000
2.0000,766,2017,10,1.0000,1.000000,1,1.0000,1.0000,1.0000
2.0000,766,2017,11,2.0000,1.000000,2,1.0000,1.0000,1.0000
1.0000,766,2018,4,2.0000,1.000000,2,1.0000,1.0000,2.0000
1.0000,766,2018,5,1.0000,1.000000,1,1.0000,1.0000,2.0000
0.0000,766,2018,6,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,767,2017,10,1.0000,1.000000,1,1.0000,1.0000,0.0000
0.0000,767,2018,1,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,770,2017,9,8.0000,1.600000,5,4.0000,1.0000,0.0000
1.0000,770,2017,11,1.0000,1.000000,1,1.0000,1.0000,8.0000
0.0000,770,2018,7,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,774,2018,6,1.0000,1.000000,1,1.0000,1.0000,0.0000
0.0000,775,2018,5,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,779,2017,10,1.0000,1.000000,1,1.0000,1.0000,0.0000
3.0000,779,2017,11,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,779,2018,1,3.0000,3.000000,1,3.0000,3.0000,1.0000
1.0000,779,2018,2,1.0000,1.000000,1,1.0000,1.0000,3.0000
1.0000,779,2018,3,1.0000,1.000000,1,1.0000,1.0000,1.0000
2.0000,779,2018,5,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,779,2018,6,2.0000,1.000000,2,1.0000,1.0000,1.0000
0.0000,780,2017,11,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,782,2017,12,2.0000,2.000000,1,2.0000,2.0000,0.0000
1.0000,782,2018,2,1.0000,1.000000,1,1.0000,1.0000,2.0000
0.0000,782,2018,6,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,787,2017,9,16.0000,2.000000,8,3.0000,1.0000,0.0000
4.0000,787,2017,10,1.0000,1.000000,1,1.0000,1.0000,16.0000
9.0000,787,2017,11,4.0000,2.000000,2,2.0000,2.0000,1.0000
6.0000,787,2017,12,9.0000,4.500000,2,8.0000,1.0000,4.0000
5.0000,787,2018,1,6.0000,3.000000,2,5.0000,1.0000,9.0000
2.0000,787,2018,2,5.0000,2.500000,2,4.0000,1.0000,6.0000
11.0000,787,2018,3,2.0000,1.000000,2,1.0000,1.0000,5.0000
12.0000,787,2018,4,11.0000,3.666666,3,8.0000,1.0000,2.0000
13.0000,787,2018,5,12.0000,3.000000,4,8.0000,1.0000,11.0000
5.0000,787,2018,6,13.0000,3.250000,4,5.0000,2.0000,12.0000
1.0000,787,2018,7,5.0000,2.500000,2,4.0000,1.0000,13.0000
0.0000,787,2018,8,1.0000,1.000000,1,1.0000,1.0000,5.0000
21.0000,788,2017,9,20.0000,3.333333,6,6.0000,1.0000,0.0000
2.0000,788,2017,10,21.0000,10.500000,2,13.0000,8.0000,20.0000
9.0000,788,2017,11,2.0000,1.000000,2,1.0000,1.0000,21.0000
13.0000,788,2018,1,9.0000,4.500000,2,6.0000,3.0000,2.0000
4.0000,788,2018,2,13.0000,6.500000,2,9.0000,4.0000,9.0000
1.0000,788,2018,5,4.0000,4.000000,1,4.0000,4.0000,13.0000
10.0000,788,2018,6,1.0000,1.000000,1,1.0000,1.0000,4.0000
7.0000,788,2018,7,10.0000,10.000000,1,10.0000,10.0000,1.0000
0.0000,788,2018,8,7.0000,1.750000,4,4.0000,1.0000,10.0000
0.0000,789,2017,10,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,790,2017,9,1.0000,1.000000,1,1.0000,1.0000,0.0000
2.0000,790,2018,3,1.0000,1.000000,1,1.0000,1.0000,1.0000
1.0000,790,2018,7,2.0000,2.000000,1,2.0000,2.0000,1.0000
0.0000,790,2018,8,1.0000,1.000000,1,1.0000,1.0000,2.0000
7.0000,792,2017,10,1.0000,1.000000,1,1.0000,1.0000,0.0000
0.0000,792,2018,2,7.0000,7.000000,1,7.0000,7.0000,1.0000
1.0000,794,2017,9,2.0000,2.000000,1,2.0000,2.0000,0.0000
3.0000,794,2017,10,1.0000,1.000000,1,1.0000,1.0000,2.0000
1.0000,794,2018,4,3.0000,1.000000,3,1.0000,1.0000,1.0000
0.0000,794,2018,7,1.0000,1.000000,1,1.0000,1.0000,3.0000
1.0000,795,2017,9,7.0000,3.500000,2,5.0000,2.0000,0.0000
3.0000,795,2018,1,1.0000,1.000000,1,1.0000,1.0000,7.0000
0.0000,795,2018,2,3.0000,3.000000,1,3.0000,3.0000,1.0000
4.0000,797,2017,9,2.0000,1.000000,2,1.0000,1.0000,0.0000
0.0000,797,2018,5,4.0000,4.000000,1,4.0000,4.0000,2.0000
1.0000,800,2017,9,1.0000,1.000000,1,1.0000,1.0000,0.0000
0.0000,800,2017,11,1.0000,1.000000,1,1.0000,1.0000,1.0000
4.0000,802,2017,9,2.0000,1.000000,2,1.0000,1.0000,0.0000
1.0000,802,2017,11,4.0000,4.000000,1,4.0000,4.0000,2.0000
2.0000,802,2017,12,1.0000,1.000000,1,1.0000,1.0000,4.0000
2.0000,802,2018,1,2.0000,1.000000,2,1.0000,1.0000,1.0000
1.0000,802,2018,5,2.0000,2.000000,1,2.0000,2.0000,2.0000
0.0000,802,2018,8,1.0000,1.000000,1,1.0000,1.0000,2.0000
110.0000,804,2017,11,200.0000,100.000000,2,100.0000,100.0000,0.0000
100.0000,804,2018,3,110.0000,55.000000,2,100.0000,10.0000,200.0000
0.0000,804,2018,4,100.0000,100.000000,1,100.0000,100.0000,110.0000
2.0000,805,2017,9,2.0000,2.000000,1,2.0000,2.0000,0.0000
1.0000,805,2017,11,2.0000,1.000000,2,1.0000,1.0000,2.0000
1.0000,805,2018,5,1.0000,1.000000,1,1.0000,1.0000,2.0000
2.0000,805,2018,6,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,805,2018,7,2.0000,1.000000,2,1.0000,1.0000,1.0000
0.0000,806,2018,9,1.0000,1.000000,1,1.0000,1.0000,0.0000
